file_index,filename,latitude,longitude,nombre_proyecto
57,0057.npy,-34.026396074499864,-70.70919027567841,ARIDOS ESTERO CODEGUA
58,0058.npy,-34.61373121129413,-70.98505852711091,ARIDOS FERROVIAL- TINGUIRIRICA
59,0059.npy,-34.21836378270157,-70.89975551819037,ARIDOS RIO CACHAPOAL - DOÑIHUE
60,0060.npy,-40.300221,-72.833236,Aridos Vicat pozo Nalcahue
61,0061.npy,-40.342278,-72.77968,Aridos Vicat pozo Cachillahue
62,0062.npy,-40.651986,-73.163855,ARIDOS CAIPULLI
63,0063.npy,-44.754225,-72.597461,Extracción Áridos La Ponderosa (Ribera Río Cisnes)
64,0064.npy,-40.652785,-73.52292,EXTRACCIÓN DE ÁRIDOS RIO LIUCURA - SAN JUAN DE LA COSTA
65,0065.npy,-46.428285,-72.702678,Extracción Áridos Río Murta
66,0066.npy,-46.722121,-72.800755,Extracción Áridos Sector Río Leones Constructora Apia
67,0067.npy,-33.693009,-70.69303,EXTRACCION DE ARIDOS PUENTE LOS MORROS - BUIN
68,0068.npy,-33.797981,-70.871404,EXTRACCION DE ARIDOS PETREOS - BUIN
69,0069.npy,-33.7072,-70.7736,PROCESAMIENTO DE ARIDOS MINERA ROSARIO - SAN BERNARDO
70,0070.npy,-36.5998,-72.3302,EXTRACCION DE ARIDOS EL BOLDAL- RIO ÑUBLE EN CONFLUENCIA CON RIOS CHILLAN Y CHANGARAL
71,0071.npy,-40.753033,-72.971834,ARIDOS DOWLING & SCHILLING SECTOR CANCURA
72,0072.npy,-40.682039,-73.107725,ARIDOS DOWLING & SCHILLING SECTOR EL ALMUD
73,0073.npy,-38.77085946399705,-72.71847727708519,ARIDOS RIO CAUTIN POZO NILQUILCO
74,0074.npy,-38.7636319125232,-72.63747456483543,ARIDOS RIO CAUTIN POZO SANTA ANA DE QUILQUILCO
75,0075.npy,-35.012392,-71.26661,ÁRIDOS RIO LONTUE
76,0076.npy,-39.8173788,-73.24253329999999,ÁRIDOS TRES SECTORES DE BORDE DE RÍO DEL CALLE - CALLE
77,0077.npy,-40.70006,-73.08,CONSTRUCTORA SOCOVESA
78,0078.npy,-36.805035,-73.129391,EXTRACCION ARIDOS DEL RIO BIO BIO -SECTOR DEL FUNDO HUALPEN
79,0079.npy,-36.8146827,-72.4166087,EXTRACCION ARIDOS DEL RIO ITATA -SECTOR CANCHILLAS Y LA BALSA
80,0080.npy,-36.6387,-72.420595,EXTRACCION ARIDOS READY MIX SUR RIO ÑUBLE - SECTOR QUINCHAMALI
81,0081.npy,-36.758626,-73.039461,EXTRACCION ARIDOS RIO ANDALIEN-BESALCO
82,0082.npy,-37.532816,-72.595903,EXTRACCION ARIDOS RIO BIOBIO - SECTOR FUNDO EL SAUCE
83,0083.npy,-36.8199164474093,-72.4061967379177,EXTRACCION ARIDOS ABRATEC
84,0084.npy,-37.185473,-72.222678,EXTRACCION ARIDOS RIO LAJA TRIBASA
85,0085.npy,-36.631078,-72.410304,EXTRACCION ARIDOS RIO ÑUBLE- SECTOR QUINCHAMALI
86,0086.npy,-36.629457,-72.405218,PLANTA DE ARIDOS MAGGI (EXTRACCION ARIDOS RIO ÑUBLE-SECTOR HUECHUPIN)
87,0087.npy,-36.602021,-72.3328715,EXTRACCION ARIDOS SAN RAFAEL - RIO ÑUBLE SECTOR HUECHUPIN
88,0088.npy,-36.8228,-73.1457,EXTRACCION ARIDOS SECTOR BOCA SUR INGEMAC -SPP
89,0089.npy,-36.882157,-72.198455,EXTRACCION ARIDOS SOPRAMAT CAUCE DEL RIO DIGUILLIN - SECTOR LOS TILOS
90,0090.npy,-37.600728,-72.296474,EXTRACCION DE ARIDOS EN EL RIO BIO-BIO SECTOR MIRADOR DEL BIO-BIO
91,0091.npy,-33.670520999999994,-70.7055565,EXTRACCION DE ARIDOS CONSTRUCTORA AGUA SANTA - BUIN
92,0092.npy,-36.633267,-72.080183,EXTRACCION DE ARIDOS EN RIO CHILLAN FUNDO BOYEN
93,0093.npy,-33.711347,-71.203347,EXTRACCION DE ARIDOS EN SECTOR PUENTE INGENIERO MARAMBIO - MELIPILLA
94,0094.npy,-33.401026,-71.160541,EXTRACCION DE ARIDOS ESTERO PUANGUE (RUTAS DEL PACIFICO) - CURACAVI
95,0095.npy,-33.734692,-70.799572,EXTRACCION DE ARIDOS MINERA SANTA LAURA - SAN BERNARDO
96,0096.npy,-33.865413,-70.754375,EXTRACCION DE ARIDOS RIO ANGOSTURA SECTOR PUENTE AGUILA NORTE (FERROVIAL AGROMAN CHILE S.A.) - PAINE
97,0097.npy,-38.764404,-72.648783,EXTRACCION DE ARIDOS RIO CAUTIN
98,0098.npy,-38.765104,-72.666066,EXTRACCION DE ARIDOS RIO CAUTIN - SECTOR MAQUEHUE
99,0099.npy,-38.776324,-72.773853,EXTRACCION DE ARIDOS RIO CAUTIN SECTOR RENGALIL
100,0100.npy,-38.58242407097557,-72.440110091858,EXTRACCION DE ARIDOS RIO CAUTIN-CANTERA LAUTARO
101,0101.npy,-33.701232,-70.758957,EXTRACCION DE ARIDOS SANTA GLORIA - SAN BERNARDO
102,0102.npy,-33.673979,-70.717079,EXTRACCION DE ARIDOS SECTOR PUENTE LOS MORROS (ARENAS Y RIPIOS SANTIAGO LTDA.) - SAN BERNARDO
103,0103.npy,-36.64327983351045,-72.4712301845613,EXTRACCION MECANIZADA DE ARIDOS EN EL RIO ITATA SECTOR PORVENIR
104,0104.npy,-37.600287,-72.276645,EXTRACCION MECANIZADA DE ARIDOS RIO BIO-BIO SECTOR SAN CARLOS DE PUREN
105,0105.npy,-36.625133,-72.398115,EXTRACCION MECANIZADA DE ARIDOS RIO ÑUBLE- TRIBASA
106,0106.npy,-33.794127,-70.221472,EXTRACCION Y EXPLOTACION DE ARENAS DE RODADOS RIO MAIPO - SAN JOSE DE MAIPO
107,0107.npy,-33.739383,-71.353125,PLANTA DE PROCESAMIENTO Y EXTRACCION DE ARIDOS RIO MAIPO SECTOR CONFLUENCIA CON ESTERO PUANGUE - MELIPILLA
