ID,NOMBRE_INSTALACION,REGION,COMUNA,ESTADO_INSTALACION,LATITUD,LONGITUD,DIST_RIO_M,DIST_ZONA_HAB_50P_KM2_M,RIO_1KM,RIO_5KM,HAB_1KM,HAB_5KM
0430-4N,DEPOSITO 3,Coquimbo,Combarbalá,ABANDONADO,-31.1435379470038,-71.0345268635543,221.2,3648.0,1,1,0,1
0431-4N,EL BRONCE ,Coquimbo,Combarbalá,ABANDONADO,-31.1130240492981,-71.1578098674692,302.4,228.4,1,1,1,1
0432-4N,QUILITAPIA,Coquimbo,Combarbalá,ABANDONADO,-31.1140829098858,-71.160836193102,5.8,306.2,1,1,1,1
0433-4N,CALIFORNIA 0,Coquimbo,Illapel,ABANDONADO,-31.6342337180703,-71.1463130261195,99.3,413.7,1,1,1,1
0434-4N,CALIFORNIA 1,Coquimbo,Illapel,ABANDONADO,-31.6350049450122,-71.14637638443,159.4,328.8,1,1,1,1
0435-4N,CALIFORNIA 2A,Coquimbo,Illapel,ABANDONADO,-31.634983230121,-71.1466283971879,175.9,327.2,1,1,1,1
0436-4N,CALIFORNIA 2B,Coquimbo,Illapel,ABANDONADO,-31.6345120549606,-71.1467362397256,149.8,377.9,1,1,1,1
0437-4N,VALENCIA,Coquimbo,Monte Patria,ABANDONADO,-30.8102101982355,-70.5634608667288,2025.5,10729.8,0,1,0,0
0438-4N,TRANQUE 1,Coquimbo,Ovalle,INACTIVO,-30.8998438855622,-71.6740239964328,1738.2,4977.3,0,1,0,1
0439-4N,TRANQUE 2,Coquimbo,Ovalle,INACTIVO,-30.8996195801333,-71.6750624639413,1678.0,5074.3,0,1,0,0
0440-4N,TRANQUE 3,Coquimbo,Ovalle,INACTIVO,-30.8998337589366,-71.6767697302586,1650.6,5238.7,0,1,0,0
0441-4N,ACOPIO 5 (EX MONICA 1),Coquimbo,Ovalle,INACTIVO,-30.8975394689366,-71.6750014239397,1467.3,5056.9,0,1,0,0
0442-4N,MONICA 2,Coquimbo,Ovalle,INACTIVO,-30.8952251055981,-71.67220699458,1386.5,4789.4,0,1,0,1
0443-4N,EL HUILMO 1 (EX SALINAS 1),Coquimbo,Combarbalá,ABANDONADO,-30.8837515032732,-71.1483079868364,2119.5,7415.1,0,1,0,0
0444-4N,EL HUILMO 2 (EX SALINAS 2),Coquimbo,Combarbalá,ABANDONADO,-30.883734014088,-71.1480889478194,2117.6,7434.4,0,1,0,0
0445-4N,EX LA COLONIA 1,Coquimbo,Illapel,INACTIVO,-31.5873267602143,-71.1170659442476,41.2,321.2,1,1,1,1
0446-4N,EX LA COLONIA 2,Coquimbo,Illapel,ABANDONADO,-31.5878657507746,-71.1176439821352,44.0,369.3,1,1,1,1
0447-4N,TUNQUEN 4 (EX EL ALMENDRO 4),Coquimbo,Illapel,INACTIVO,-31.4678616236718,-71.0989727613973,12.1,13348.9,1,1,0,0
0448-4N,TUNQUEN 5 (EX EL ALMENDRO 5),Coquimbo,Illapel,INACTIVO,-31.4691582625442,-71.0987511212968,79.2,13208.5,1,1,0,0
0449-4N,TUNQUEN,Coquimbo,Illapel,ACTIVO,-31.4791671185706,-71.0905468446181,247.8,12151.9,1,1,0,0
0450-4N,EMBALSE SEGURA,Coquimbo,Combarbalá,ACTIVO,-30.8982264962964,-71.1707637186618,1196.4,6267.0,0,1,0,0
0451-4N,EL CISNE,Coquimbo,Punitaqui,ABANDONADO,-30.8598404538558,-71.2407468314799,343.7,390.0,1,1,1,1
0452-4N,TAMAYA (EX LOS MANTOS 1-2),Coquimbo,Punitaqui,INACTIVO,-30.8597861240937,-71.2328720235967,138.4,418.2,1,1,1,1
0453-4N,TAMAYA 2,Coquimbo,Ovalle,ABANDONADO,-30.5564503117776,-71.3698989946623,233.1,3077.1,1,1,0,1
0454-4N,TRANQUE 3 (EX TAMAYA 3),Coquimbo,Punitaqui,ACTIVO,-30.8585382134321,-71.2261979026494,253.0,588.1,1,1,1,1
0455-4N,DEPOSITO ESPESADO,Coquimbo,Punitaqui,ACTIVO,-30.8630037395759,-71.2270524556113,746.8,321.6,1,1,1,1
0456-4N,LAS PALMAS ,Coquimbo,Río Hurtado,ABANDONADO,-30.3965229612313,-70.8677171704086,300.9,420.3,1,1,1,1
0457-4N,ATELCURA,Coquimbo,Canela,ABANDONADO,-31.5699956178062,-71.3306821896204,598.5,13913.0,1,1,0,0
0458-4N,ESPERANZA 0,Coquimbo,Illapel,ABANDONADO,-31.3960795598495,-71.0557621052843,2364.7,21268.8,0,1,0,0
0459-4N,ESPERANZA 1,Coquimbo,Illapel,ABANDONADO,-31.3968639331402,-71.0558317748304,2279.5,21181.8,0,1,0,0
0460-4N,ESPERANZA 2,Coquimbo,Illapel,ABANDONADO,-31.405988414665,-71.0615514458447,1184.2,20141.4,0,1,0,0
0461-4N,ESPERANZA DOS,Coquimbo,Illapel,ABANDONADO,-31.6367347523024,-71.1684891776128,186.2,364.8,1,1,1,1
0462-4N,DEPOSITO ,Coquimbo,Illapel,ABANDONADO,-31.4005802291897,-71.060347623183,1790.5,20744.5,0,1,0,0
0463-4N,ANTA COLLA 1,Coquimbo,Illapel,ABANDONADO,-31.620733145284,-71.1426455168736,77.7,373.7,1,1,1,1
0464-4N,ANTA COLLA 2,Coquimbo,Illapel,ABANDONADO,-31.6200277741636,-71.1430007306059,154.0,409.9,1,1,1,1
0465-4N,ASIENTO VIEJO 1,Coquimbo,Illapel,ABANDONADO,-31.6030273326187,-71.1240330915261,371.7,252.5,1,1,1,1
0466-4N,ASIENTO VIEJO 2,Coquimbo,Illapel,ABANDONADO,-31.6026170640992,-71.1243168361992,423.1,303.5,1,1,1,1
0467-4N,ASIENTO VIEJO 3,Coquimbo,Illapel,ABANDONADO,-31.6018998233057,-71.1245972153464,506.7,380.6,1,1,1,1
0468-4N,PORTEZUELO 1,Coquimbo,Illapel,INACTIVO,-31.5979106386525,-71.1256820779676,400.3,387.5,1,1,1,1
0469-4N,AUCO,Coquimbo,Illapel,ABANDONADO,-31.5706139018773,-71.1018130646897,25.6,2223.1,1,1,0,1
0470-4N,DON ROBERTO (EX FARELLON SANCHEZ 1-2),Coquimbo,Illapel,INACTIVO,-31.4512135389771,-71.0226239162731,41.6,15828.7,1,1,0,0
0471-4N,LETICIA 1,Coquimbo,Illapel,INACTIVO,-31.4533093713374,-71.0227830717496,98.0,15603.0,1,1,0,0
0472-4N,LETICIA 2,Coquimbo,Illapel,ABANDONADO,-31.4544104534914,-71.0232204742249,145.8,15474.3,1,1,0,0
0473-4N,ANA MARIA 1,Coquimbo,Illapel,ABANDONADO,-31.4309337092658,-71.0122294929752,107.8,18265.5,1,1,0,0
0474-4N,ANA MARIA 2,Coquimbo,Illapel,ABANDONADO,-31.4271899459058,-71.0145665241342,6.5,18593.0,1,1,0,0
0475-4N,LA FORTUNA 1,Coquimbo,Illapel,INACTIVO,-31.4103432214273,-71.0845673925159,1162.7,19670.8,0,1,0,0
0476-4N,LA FORTUNA 2,Coquimbo,Illapel,INACTIVO,-31.4108578031378,-71.0844759718316,1106.6,19613.4,0,1,0,0
0477-4N,LA FORTUNA 3,Coquimbo,Illapel,INACTIVO,-31.4113948267345,-71.0846709882295,1046.1,19555.3,0,1,0,0
0478-4N,EMBALSE FORTUNA,Coquimbo,Illapel,ACTIVO,-31.4097159512615,-71.0844341078017,1232.8,19739.2,0,1,0,0
0479-4N,KATTIA 1,Coquimbo,Illapel,INACTIVO,-31.3740846755342,-71.0704020072745,3407.1,21091.4,0,1,0,0
0480-4N,KATTIA 2,Coquimbo,Illapel,INACTIVO,-31.3727678436614,-71.0709758147755,3352.6,20961.4,0,1,0,0
0481-4N,KATTIA 3,Coquimbo,Illapel,ABANDONADO,-31.3734971741557,-71.0686265839895,3575.9,20991.8,0,1,0,0
0482-4N,SAN ALBERTO 3,Coquimbo,Canela,ABANDONADO,-31.2316074680286,-71.5832970353635,39.5,2981.5,1,1,0,1
0483-4N,LOS CANELOS ANTIGUO,Coquimbo,Illapel,ABANDONADO,-31.3631686702092,-71.1018398783296,570.4,20808.6,1,1,0,0
0484-4N,LOS CANELOS 2,Coquimbo,Illapel,ABANDONADO,-31.3638792320878,-71.1023732676211,480.4,20900.2,1,1,0,0
0485-4N,LOS CANELOS 3,Coquimbo,Illapel,ABANDONADO,-31.3625840409264,-71.1009464594672,676.7,20717.5,1,1,0,0
0486-4N,LOS GLADIADORES,Coquimbo,Los Vilos,INACTIVO,-31.9383773806045,-71.1303345181628,451.6,1256.0,1,1,0,1
0487-4N,MARCIAL GARCIA,Coquimbo,Los Vilos,INACTIVO,-31.9373794166265,-71.1287922383402,634.1,1276.0,1,1,0,1
0488-4N,EL CHINCHE,Coquimbo,Salamanca,INACTIVO,-31.8438172042922,-70.5917917175459,734.8,2093.8,1,1,0,1
0489-4N,LOS QUILLAYES,Coquimbo,Salamanca,ACTIVO,-31.8451817233857,-70.6055351842932,145.2,785.7,1,1,1,1
0490-4N,EL MAURO,Coquimbo,Los Vilos,ACTIVO,-31.9652762867716,-71.0228272753702,8.4,11637.5,1,1,0,0
0491-4N,TRINCHERA,Coquimbo,Salamanca,ABANDONADO,-31.7438841601898,-70.9382386594522,475.6,3139.6,1,1,0,1
0492-4N,SAN ELISEO 1,Coquimbo,Salamanca,ABANDONADO,-31.7798068232038,-70.9849535524453,229.1,360.1,1,1,1,1
0493-4N,SAN ELISEO 2,Coquimbo,Salamanca,ABANDONADO,-31.7796499128905,-70.9844559354044,253.6,382.3,1,1,1,1
0494-4N,SANTO DOMINGO 1-2,Coquimbo,Salamanca,ABANDONADO,-31.7768883381504,-70.9808585064773,42.2,300.9,1,1,1,1
0495-4N,EL ARENAL,Coquimbo,Salamanca,ABANDONADO,-31.9780643614014,-70.9159821298375,132.1,15856.5,1,1,0,0
0496-4N,MERINO,Coquimbo,Salamanca,ABANDONADO,-31.9757600883601,-70.9158991252346,124.2,15605.9,1,1,0,0
0497-4N,NUEVA MOLLAQUITA,Coquimbo,La Serena,ABANDONADO,-30.0741720979838,-71.1222422134126,3824.6,9537.3,0,1,0,0
0498-4N,CHINGOLES 1,Coquimbo,La Higuera,ABANDONADO,-29.4508304069358,-70.7521615099459,85.6,30457.1,1,1,0,0
0499-4N,CHINGOLES 2,Coquimbo,La Higuera,ABANDONADO,-29.4506862159818,-70.7509466802721,154.5,30558.1,1,1,0,0
0500-4N,LOS PINGOS 1,Coquimbo,Monte Patria,INACTIVO,-30.9481111934828,-70.4961668566006,441.6,22495.6,1,1,0,0
0501-RM,EMBALSE DE RELAVES,Metropolitana de Santiago,Lampa,INACTIVO,-33.2565303312594,-70.8355817697864,791.7,365.1,1,1,1,1
0502-RM,TRANQUE DE RELAVE 1-PRISMA DE SEGURIDAD-CIERRE MEJORADO,Metropolitana de Santiago,Lampa,INACTIVO,-33.2557711096742,-70.8388139148904,1093.3,131.5,0,1,1,1
0503-RM,TRANQUE DE RELAVE 2,Metropolitana de Santiago,Lampa,INACTIVO,-33.2559125040689,-70.836445250336,872.3,260.1,1,1,1,1
0504-4N,SAN MIGUEL,Coquimbo,Monte Patria,ABANDONADO,-30.8204146328578,-70.596815780978,40.8,9185.4,1,1,0,0
0505-4N,TESORO 1-2-3,Coquimbo,La Higuera,INACTIVO,-29.3620277658685,-71.0661699167917,282.6,3766.3,1,1,0,1
0506-4N,TESORO 4,Coquimbo,La Higuera,ACTIVO,-29.362243539189,-71.0646128100083,258.7,3678.6,1,1,0,1
0507-4N,TESORO ,Coquimbo,La Higuera,EN CONSTRUCCION,-29.3570360855017,-71.0640870510985,325.0,3242.4,1,1,0,1
0508-4N,TRANQUE DE RELAVE,Coquimbo,Coquimbo,ABANDONADO,-30.2004044611726,-71.2135399614905,500.0,941.6,1,1,1,1
0509-4N,TRANQUE DE RELAVES PLANTA SAN LUIS,Coquimbo,La Serena,ACTIVO,-30.0281164805969,-71.036325351347,87.6,1696.9,1,1,0,1
0510-4N,SAN LUIS,Coquimbo,La Serena,INACTIVO,-30.0288923415785,-71.0364339854896,98.0,1780.6,1,1,0,1
0511-4N,SANTA TERESITA 1,Coquimbo,Andacollo,INACTIVO,-30.2277514033017,-71.0643075635256,534.6,774.8,1,1,1,1
0512-4N,SANTA TERESITA 2,Coquimbo,Andacollo,ACTIVO,-30.2272685765562,-71.0651721081459,481.2,712.3,1,1,1,1
0513-4N,VICTORIA 1,Coquimbo,Andacollo,ABANDONADO,-30.22896684446,-71.0725474213581,669.0,81.5,1,1,1,1
0514-4N,VICTORIA 2,Coquimbo,Andacollo,ABANDONADO,-30.2283526573742,-71.0720290860493,601.1,136.1,1,1,1,1
0515-4N,HUANA 1,Coquimbo,Monte Patria,ABANDONADO,-30.7086035338855,-70.953680433665,721.0,474.6,1,1,1,1
0516-4N,HUANA 2,Coquimbo,Monte Patria,ABANDONADO,-30.7101747052887,-70.9529800471837,894.7,660.8,1,1,1,1
0517-4N,EL ALGARROBO,Coquimbo,Río Hurtado,ABANDONADO,-30.4521811459203,-70.9958958512977,139.4,6994.6,1,1,0,0
0518-4N,SANTA TERESA ,Coquimbo,Illapel,INACTIVO,-31.3727586169867,-71.0670294089743,3727.7,20880.4,0,1,0,0
0519-4N,SANTA TERESA 2,Coquimbo,Illapel,ACTIVO,-31.3736677593139,-71.067133746111,3717.8,20980.8,0,1,0,0
0520-4N,PLUMA DE ORO,Coquimbo,Illapel,ABANDONADO,-31.6392397984173,-71.1716638364352,234.4,151.6,1,1,1,1
0521-4N,DOS ESPINOS 1-2,Coquimbo,La Higuera,ABANDONADO,-29.4439896109927,-70.7887767570886,26.5,26922.0,1,1,0,0
0522-4N,PONCE ,Coquimbo,Andacollo,ACTIVO,-30.2508916967191,-71.0767734376607,1145.4,537.9,0,1,1,1
0523-4N,PONCE 1,Coquimbo,Andacollo,INACTIVO,-30.2511135039795,-71.0779796786604,1073.9,449.5,0,1,1,1
0524-4N,PONCE 2,Coquimbo,Andacollo,INACTIVO,-30.2517124037785,-71.0778973957622,1123.4,399.3,0,1,1,1
0525-4N,PONCE 3,Coquimbo,Andacollo,INACTIVO,-30.2519428965439,-71.0778035502767,1132.7,385.2,0,1,1,1
0526-4N,PONCE 4,Coquimbo,Andacollo,INACTIVO,-30.2514325624775,-71.0780018170976,1095.5,418.6,0,1,1,1
0527-4N,PONCE 5,Coquimbo,Andacollo,INACTIVO,-30.2514023405226,-71.077292580177,1144.7,462.5,0,1,1,1
0528-4N,PONCE 6,Coquimbo,Andacollo,INACTIVO,-30.2508622322471,-71.0776422614553,1080.2,490.3,0,1,1,1
0529-4N,TRANQUE MARIANITA,Coquimbo,Vicuña,INACTIVO,-30.0011380123273,-71.0019492755252,78.4,506.8,1,1,1,1
0530-4N,EMBALSE MARIANITA,Coquimbo,Vicuña,INACTIVO,-30.0005614479761,-71.0017487280838,134.9,568.1,1,1,1,1
0531-4N,HORIZONTE 1,Coquimbo,Illapel,INACTIVO,-31.4592347369766,-71.0474217834903,130.7,14420.3,1,1,0,0
0532-4N,HORIZONTE 2,Coquimbo,Illapel,INACTIVO,-31.4590808865155,-71.0480217316435,147.7,14427.9,1,1,0,0
0533-4N,TRANQUE DE RELAVE,Coquimbo,Illapel,INACTIVO,-31.4590796728783,-71.0486854458499,147.8,14418.2,1,1,0,0
0534-4N,RELAVES 1,Coquimbo,Illapel,ABANDONADO,-31.4734602404959,-71.0976664362714,23.8,12747.7,1,1,0,0
0535-4N,RELAVES 2,Coquimbo,Illapel,ABANDONADO,-31.4745805355367,-71.0975590532243,34.0,12625.9,1,1,0,0
0536-4N,RELAVES 3,Coquimbo,Illapel,ABANDONADO,-31.4755038751314,-71.0969852488447,88.4,12531.4,1,1,0,0
0537-4N,TRANQUE DE RELAVES 1,Coquimbo,Illapel,ACTIVO,-31.5683568531132,-71.1009006581739,120.3,2482.5,1,1,0,1
0538-4N,TRANQUE DE RELAVES 2,Coquimbo,Illapel,INACTIVO,-31.5675164824987,-71.1008475709813,177.8,2566.3,1,1,0,1
0539-4N,TRANQUE DE RELAVE 1,Coquimbo,Illapel,ABANDONADO,-31.6327020596531,-71.1612256536917,253.6,419.7,1,1,1,1
0540-4N,TRANQUE DE RELAVE 2,Coquimbo,Illapel,ABANDONADO,-31.6331267823884,-71.1614210714413,237.1,449.7,1,1,1,1
