ProcesoSancionId;Expediente;ProcesoSancionTipoNombre;ProcesoSancionEstado;FechaInicio;FechaTermino;ConfirmaPdC;MultaTotalUTA;LinkSNIFA;UnidadFiscalizableId;Nombre;RegionNombre;ComunaNombre;Latitud;Longitud;CategoriaEconomicaNombre;SubCategoriaEconomicaNombre;LinkSNIFA_UF;FechaActualizacion
1248;D-030-2015;Denuncia;Terminado - PDC Satisfactorio;23-07-2015;23-03-2018;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1248                          ;11634;CONSTRUCTORA COFAM;Región del Biobío;Concepción;-36.818815;-73.043546;Vivienda e Inmobiliarios;Edificio Habitacional;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11634                         ;20-05-26
1249;D-033-2015;Denuncia;Terminado - PDC Satisfactorio;10-08-2015;03-08-2018;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1249                          ;4493;CERDOS LA ISLA - AGRICOLA EL MONTE S.A.;Región Metropolitana;El Monte;-33.663619;-70.948324;Agroindustrias;Plantel de cerdos;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/4493                          ;20-05-26
1250;D-034-2015;Denuncia;Terminado - Sanción;11-08-2015;07-08-2017;No;2.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1250                          ;11308;COLEGIO GRACE COLLEGE;Región Metropolitana;Huechuraba;-33.354284;-70.677609;Equipamiento;Establecimiento educacional;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11308                         ;20-05-26
1251;D-040-2015;Denuncia;Terminado - PDC Satisfactorio;11-08-2015;28-06-2018;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1251                          ;1415;MINERA BMR (EX-ALTOS DE PUNITAQUI);Región de Coquimbo;Punitaqui;-30.86;-71.2263;Minería;Minera metálica;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/1415                          ;20-05-26
1252;D-035-2015;Denuncia;Terminado - PDC Satisfactorio;11-08-2015;02-08-2019;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1252                          ;11306;SARQUIZ Y MEZA - DISCOTEQUE NUEVA CERO;Región Metropolitana;San Miguel;-33.478583;-70.649459;Equipamiento;Discoteca / pub;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11306                         ;20-05-26
1253;D-036-2015;Denuncia;Terminado - PDC Satisfactorio;11-08-2015;05-11-2019;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1253                          ;13273;RENDIC HERMANOS S.A.- OK MARKET;Región Metropolitana;Providencia;-33.437104779734;-70.6332640333251;Equipamiento;Centro comercial;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13273                         ;20-05-26
1254;A-004-2015;Autodenuncia;Terminado - PDC Satisfactorio;04-08-2015;20-07-2018;Sí;602.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1254                          ;13142;PLANTA CEMCO QUILICURA;Región Metropolitana;Quilicura;-33.345055;-70.696256;Instalación fabril;Otras;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13142                         ;20-05-26
1255;D-039-2015;Denuncia;Terminado - Sanción;12-08-2015;19-04-2016;No;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1255                          ;13329;DISCOTECAGATO NEGRO;Región de Valparaíso;Cartagena;-33.5472114511372;-71.6050492908074;Equipamiento;Discoteca / pub;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13329                         ;20-05-26
1256;D-038-2015;Denuncia;Terminado - Sanción;12-08-2015;16-11-2016;No;1.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1256                          ;13302;CENTRO DE CULTIVOPLANTA COSTA SUR S.A.;Región de Valparaíso;Valparaíso;-33.0353937;-71.5886752;Pesca y Acuicultura;Elaboración y procesado de recursos hidrobiológicos;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13302                         ;20-05-26
1257;D-037-2015;Denuncia;Terminado - PDC Satisfactorio;12-08-2015;22-02-2017;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1257                          ;13270;PLANTA ELEVADORA DE AGUA POTABLE CERRO RAMADITAS;Región de Valparaíso;Valparaíso;-33.062148;-71.596669;Saneamiento Ambiental;Sistema de agua potable;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13270                         ;20-05-26
1257;D-037-2015;Denuncia;Terminado - PDC Satisfactorio;12-08-2015;22-02-2017;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1257                          ;13348;AGUA POTABLEPLANTA ELEVADORA DE AGUA POTABLE ESVAL;Región de Valparaíso;Valparaíso;-33.0644187256061;-71.5973210334778;Saneamiento Ambiental;Sistema de agua potable;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13348                         ;20-05-26
1258;A-005-2015;Autodenuncia;Terminado - PDC Satisfactorio;19-08-2015;11-01-2019;Sí;454.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1258                          ;13106;MERCOFRUT S.A. - CHIMBARONGO;Región del Libertador General Bernardo O'Higgins;Chimbarongo;-34.7201;-71.0701;Agroindustrias;Producción agrícola / cultivos;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13106                         ;20-05-26
1259;D-041-2015;Denuncia;Terminado - Sanción;19-08-2015;14-06-2016;No;8.2;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1259                          ;2663;PISCICULTURA LA ESPERANZA;Región de la Araucanía;Cunco;-39.0940608;-71.9105543;Pesca y Acuicultura;Centro de cultivo de peces;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2663                          ;20-05-26
